customer_id,customer_name,email,city
1,Rahul Patil,rahul.patil@mail.com,Delhi
2,Kiran Reddy,kiran.reddy@mail.com,Delhi
3,Vikram Patil,vikram.patil@mail.com,Chennai
4,Meena Sharma,meena.sharma@mail.com,Mumbai
5,Aarav Rao,aarav.rao@mail.com,Mumbai
6,Kiran Sharma,kiran.sharma@mail.com,Chennai
7,Rahul Patil,rahul.patil@mail.com,Hyderabad
8,Sneha Kumar,sneha.kumar@mail.com,Bengaluru
9,Meena Rao,meena.rao@mail.com,Hyderabad
10,Aditya Kumar,aditya.kumar@mail.com,Mumbai
11,Shreya Sharma,shreya.sharma@mail.com,Pune
12,Aarav Kumar,aarav.kumar@mail.com,Delhi
13,Meena Kumar,meena.kumar@mail.com,Hyderabad
14,Aditya Patil,aditya.patil@mail.com,Pune
15,Shreya Rao,shreya.rao@mail.com,Kolkata
16,Aditya Reddy,aditya.reddy@mail.com,Delhi
17,Rahul Singh,rahul.singh@mail.com,Delhi
18,Sneha Reddy,sneha.reddy@mail.com,Pune
19,Chaitra Singh,chaitra.singh@mail.com,Kolkata
20,Sneha Reddy,sneha.reddy@mail.com,Delhi
21,Meena Sharma,meena.sharma@mail.com,Hyderabad
22,Aarav Sharma,aarav.sharma@mail.com,Hyderabad
23,Meena Reddy,meena.reddy@mail.com,Bengaluru
24,Aarav Sharma,aarav.sharma@mail.com,Kolkata
25,Vikram Rao,vikram.rao@mail.com,Bengaluru
26,Vikram Reddy,vikram.reddy@mail.com,Hyderabad
27,Kiran Singh,kiran.singh@mail.com,Chennai
28,Aarav Reddy,aarav.reddy@mail.com,Bengaluru
29,Meena Kumar,meena.kumar@mail.com,Pune
30,Aarav Kumar,aarav.kumar@mail.com,Mumbai
31,Chaitra Patil,chaitra.patil@mail.com,Mumbai
32,Sneha Singh,sneha.singh@mail.com,Pune
33,Aditya Patil,aditya.patil@mail.com,Delhi
34,Rahul Patil,rahul.patil@mail.com,Delhi
35,Rahul Sharma,rahul.sharma@mail.com,Bengaluru
36,Shreya Rao,shreya.rao@mail.com,Mumbai
37,Kiran Sharma,kiran.sharma@mail.com,Kolkata
38,Riya Kumar,riya.kumar@mail.com,Bengaluru
39,Vikram Kumar,vikram.kumar@mail.com,Mumbai
40,Aarav Sharma,aarav.sharma@mail.com,Kolkata
41,Chaitra Reddy,chaitra.reddy@mail.com,Delhi
42,Shreya Kumar,shreya.kumar@mail.com,Pune
43,Vikram Kumar,vikram.kumar@mail.com,Kolkata
44,Chaitra Kumar,chaitra.kumar@mail.com,Kolkata
45,Chaitra Sharma,chaitra.sharma@mail.com,Pune
46,Shreya Rao,shreya.rao@mail.com,Delhi
47,Shreya Singh,shreya.singh@mail.com,Pune
48,Meena Kumar,meena.kumar@mail.com,Delhi
49,Shreya Kumar,shreya.kumar@mail.com,Bengaluru
50,Shreya Kumar,shreya.kumar@mail.com,Delhi
51,Meena Reddy,meena.reddy@mail.com,Delhi
52,Vikram Reddy,vikram.reddy@mail.com,Hyderabad
53,Vikram Reddy,vikram.reddy@mail.com,Hyderabad
54,Aditya Singh,aditya.singh@mail.com,Mumbai
55,Chaitra Kumar,chaitra.kumar@mail.com,Bengaluru
56,Meena Rao,meena.rao@mail.com,Delhi
57,Chaitra Sharma,chaitra.sharma@mail.com,Delhi
58,Meena Rao,meena.rao@mail.com,Mumbai
59,Riya Reddy,riya.reddy@mail.com,Kolkata
60,Riya Sharma,riya.sharma@mail.com,Pune
